date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-11-19;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;781ec7cf-02c0-47a4-9d32-7a635107a565;5499
2025-11-19;CASH;CARD_TRANSACTION;VINI LILLE;ALIMENTATION;RESTAURANTS;-8.000000;655ac9f5-62e6-4428-90f7-64d5bf720675;5813
2025-11-20;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;4f88fbca-3a60-4ef0-8f49-602b2683e542;5499
2025-11-20;CASH;CARD_TRANSACTION;ZENPARKMailleri 4030783;CHARGES_VARIABLES;STATIONNEMENT_PEAGES;-6.200000;05256385-4415-41e4-8c71-690fb5a028dc;5072
2025-11-21;CASH;CARD_TRANSACTION;AMAZON EU SARL  2090401;ACHATS;DIVERS;-5.260000;6afce834-a1ce-4ef2-bad0-a97105dc2146;5965
2025-11-21;CASH;VIBAN_TRANSFER_INBOUND;Incoming transfer from M PAUL DENHEZ;DIVERS;AJUSTEMENTS_ERREURS;1150.000000;71ce5630-af38-4815-b6cc-c7c91c244387;
2025-11-22;CASH;CARD_TRANSACTION;NESPRESSO FRANCE S.A.S.;ACHATS;CAFE;-29.000000;36489414-c52f-4cc0-9032-b34d62273456;5499
2025-11-22;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-57.580000;5dcf49ab-a89c-4380-8d98-b55c2160a64f;5411
2025-11-22;CASH;CARD_TRANSACTION;SP WILDDE;ACHATS;SOIN DE LA PERSONNE;-33.070000;ace739e4-f559-49f3-ba19-f8fa446c0642;5999
2025-11-22;CASH;CARD_TRANSACTION;TOTAL           4380175;CHARGES_VARIABLES;CARBURANT;-25.100000;77e617e6-e16e-45f2-9408-3453c6783657;5541
2025-11-23;CASH;CARD_TRANSACTION;PADEL FOOTBALL C;LOISIRS;SPORT;-7.000000;a618f1b9-5b32-4a7e-a2b6-5b2b096176bc;7991
2025-11-23;CASH;CARD_TRANSACTION;PADEL FOOTBALL CLUB;LOISIRS;SPORT;-54.000000;21c1bfdf-41ae-4172-9af1-b9f570a6206f;7997
2025-11-23;CASH;CARD_TRANSACTION;PHAR BOURGMAYER 4194069;SANTE;PHARMACIE;-37.900000;2525eb99-205c-4ff5-8e10-206f64d7d711;5912
2025-11-25;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;4ba7a326-cecf-4236-ae99-da9f2471d6b1;5499
2025-11-25;CASH;CARD_TRANSACTION;SnP*SPEED PIZZA;ALIMENTATION;RESTAURANTS;-27.500000;d14b6d1a-9222-403b-b25f-6460cf1ad945;5814
2025-11-25;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-26.570000;bdd84c18-327d-4f07-b113-98636897436f;5541
2025-11-26;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019abf52-9ae9-7f5b-882f-96f98ae9051c;5499
2025-11-27;CASH;CARD_TRANSACTION;AMZN Mktp FR*ZR4JT3C04;ACHATS;DIVERS;-52.210000;019ac4a5-597c-7b08-bbc5-aac81d743d0e;5999
2025-11-27;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-3.400000;019ac583-7dd7-7cce-988e-fb69c3333f9a;5462
